text,term,polarity
"Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.",service,negative
How have I never been to Agave before?,anecdotes/miscellaneous,positive
We ordered lamb which was perfectly cooked and tasted awesome.,lamb,positive
We ordered lamb which was perfectly cooked and tasted awesome.,food,positive
i especially like their soft shell crab sandwich with fries.,soft shell crab sandwich with fries,positive
i especially like their soft shell crab sandwich with fries.,food,positive
"if you're looking for authentic hong kong-style food, look no further.",hong kong-style food,positive
"if you're looking for authentic hong kong-style food, look no further.",food,positive
My wife I lived on the west side and found this while visiting firends on the UES.,anecdotes/miscellaneous,neutral
good food good wine that's it.,food,positive
good food good wine that's it.,wine,positive
good food good wine that's it.,food,positive
A nice find in the neighborhood.,anecdotes/miscellaneous,positive
The staff was extremely friendly and pleasant.,staff,positive
The staff was extremely friendly and pleasant.,service,positive
"And as SOON as one person is done, she asked to pick up the plate immediately.",service,negative
"This place is Italian, not French.",anecdotes/miscellaneous,neutral
"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.",anecdotes/miscellaneous,neutral
"While their kitchen food is delicious, their Sushi is out of this world.",kitchen food,positive
"While their kitchen food is delicious, their Sushi is out of this world.",Sushi,positive
"While their kitchen food is delicious, their Sushi is out of this world.",food,positive
"There was a heat problem to boot, so it was about 40 degrees in the restaurant -- we had to request to uncheck our coats!",ambience,negative
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",service,positive
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",waitresses,positive
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",atmosphere,positive
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",service,positive
"everything is scrumptious, from the excellent service by cute waitresses, to the extremely lush atmosphere.",ambience,positive
"It's traditional, simple italian food.",italian food,positive
"It's traditional, simple italian food.",food,positive
My girlfriend and I just spent our 10 month anniversary at Lou Lou.,anecdotes/miscellaneous,neutral
"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",food,positive
"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",rolls,positive
"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",sushi/sashimi,neutral
"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level.",food,positive
(The sashimi is cut a little thinly.,sashimi,negative
(The sashimi is cut a little thinly.,food,negative
"Bay Terrace mall is nothing (ok, almost nothing) without it!",anecdotes/miscellaneous,positive
Could have had better for 1/3 the price in Chinatown.,price,negative
Could have had better for 1/3 the price in Chinatown.,price,negative
My husband and I had a blast.,anecdotes/miscellaneous,positive
personally i say save your money.,anecdotes/miscellaneous,negative
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",hot dogs,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",breakfast sandwiches,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",tator tots,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",English muffins,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",Taylor ham,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",pork product,positive
"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham.",food,positive
"Believe me, they live up to the name.",anecdotes/miscellaneous,positive
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",manager,negative
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",bartender,negative
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",drinks,neutral
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",waiting,negative
"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",service,negative
"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",service,positive
"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",atmosphere,positive
"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",service,positive
"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",ambience,positive
"When the dish arrived it was blazing with green chillis, definitely not edible by a human.",green chillis,negative
"When the dish arrived it was blazing with green chillis, definitely not edible by a human.",dish,negative
"When the dish arrived it was blazing with green chillis, definitely not edible by a human.",food,negative
The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,service,negative
The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,food,negative
The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,meals,neutral
The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,service,negative
The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,food,negative
It's about $7 for lunch and they have take-out or dine-in.,lunch,neutral
It's about $7 for lunch and they have take-out or dine-in.,take-out,neutral
It's about $7 for lunch and they have take-out or dine-in.,dine-in,neutral
It's about $7 for lunch and they have take-out or dine-in.,price,neutral
It's about $7 for lunch and they have take-out or dine-in.,service,neutral
They are by far the BEST past in New York.,anecdotes/miscellaneous,positive
I have eaten here several times before attending an afternoon performance.,anecdotes/miscellaneous,neutral
Everything is very cheap.,price,positive
Be sure to accompany your food with one of their fresh juice concoctions.,food,neutral
Be sure to accompany your food with one of their fresh juice concoctions.,fresh juice concoctions,positive
Be sure to accompany your food with one of their fresh juice concoctions.,food,positive
The food is great and the prices are reasonable.,food,positive
The food is great and the prices are reasonable.,prices,positive
The food is great and the prices are reasonable.,food,positive
The food is great and the prices are reasonable.,price,positive
"The place is clean, and if you like soul food, then this is the place to be!",place,positive
"The place is clean, and if you like soul food, then this is the place to be!",soul food,positive
"The place is clean, and if you like soul food, then this is the place to be!",ambience,positive
"The place is clean, and if you like soul food, then this is the place to be!",food,positive
You'll see a lot of people eating there after church.,anecdotes/miscellaneous,neutral
I had roast chicken and a salad.,roast chicken,neutral
I had roast chicken and a salad.,salad,neutral
I had roast chicken and a salad.,food,neutral
I've been a regular customer at Juice Generation for the last 3 months - my office moved to the Film Center on Ninth Avenue and they are on the next block.,anecdotes/miscellaneous,neutral
They have a very good chicken with avocado and good tuna as well.,chicken with avocado,positive
They have a very good chicken with avocado and good tuna as well.,tuna,positive
They have a very good chicken with avocado and good tuna as well.,food,positive
It's the kind of place I like to support!,anecdotes/miscellaneous,positive
But the meals were terrible.,meals,negative
But the meals were terrible.,food,negative
My chicken was completely dried out and on the cold side and the sauce was not very flavorful.,chicken,negative
My chicken was completely dried out and on the cold side and the sauce was not very flavorful.,sauce,negative
My chicken was completely dried out and on the cold side and the sauce was not very flavorful.,food,negative
Malted Milk Ball Gelato - have you ever in your life heard of anything so ridiculously wonderful?,Malted Milk Ball Gelato,positive
Malted Milk Ball Gelato - have you ever in your life heard of anything so ridiculously wonderful?,food,positive
just walk by the window and see all the unbiased positive reviews in all the major nyc publications.,anecdotes/miscellaneous,positive
Way too much money for such a terrible meal.,meal,negative
Way too much money for such a terrible meal.,price,negative
Way too much money for such a terrible meal.,food,negative
Would not recommend anyone to go.,anecdotes/miscellaneous,negative
"However, the service is absolutely horrible.",service,negative
"However, the service is absolutely horrible.",service,negative
A con was the slow bar service.,bar service,negative
A con was the slow bar service.,service,negative
Dessert was also to die for!,Dessert,positive
Dessert was also to die for!,food,positive
"BTW, the service is very good .",service,positive
"BTW, the service is very good .",service,positive
We loved it and will go back!,anecdotes/miscellaneous,positive
I came again weeks later with my boyfriend and again had a very nice experience.,anecdotes/miscellaneous,positive
It's eaten with black vinegar and shredded ginger.,black vinegar,neutral
It's eaten with black vinegar and shredded ginger.,shredded ginger,neutral
It's eaten with black vinegar and shredded ginger.,food,neutral
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",lighting,negative
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",food,negative
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",disco pop duo,negative
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",escargot,negative
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",ambience,negative
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",price,negative
"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.",food,negative
We'll definitly be back again!,anecdotes/miscellaneous,positive
This is the best Italian restaurant in the city.,anecdotes/miscellaneous,positive
it is a cozy place to go with a couple of friends.,place,positive
it is a cozy place to go with a couple of friends.,ambience,positive
"The service is always great, and the owner walks around to make sure you enjoy.",service,positive
"The service is always great, and the owner walks around to make sure you enjoy.",owner,positive
"The service is always great, and the owner walks around to make sure you enjoy.",service,positive
because the waiters need SEVERE ATTITUE ADJUSTMENTS.,waiters,negative
because the waiters need SEVERE ATTITUE ADJUSTMENTS.,service,negative
"There are numerous shavue restaurants in LA, but few out here.",anecdotes/miscellaneous,neutral
Horrible experience - stay away!,anecdotes/miscellaneous,negative
"If this restaurant was in Manhattan, I would definitely go more often.",anecdotes/miscellaneous,positive
the food is delicious and highly recommended.,food,positive
the food is delicious and highly recommended.,food,positive
"When it came time to take the order the waiter gave us a hard time, walked away then came back with a paper and pen for us to write down what we wanted...excuse me but isn't that his job???",waiter,negative
"When it came time to take the order the waiter gave us a hard time, walked away then came back with a paper and pen for us to write down what we wanted...excuse me but isn't that his job???",service,negative
One of my Fav spots in the city.,anecdotes/miscellaneous,positive
"Over priced, overrated....stay away!",price,negative
"Over priced, overrated....stay away!",anecdotes/miscellaneous,negative
Do not go to this restaurant.,anecdotes/miscellaneous,negative
"since i was in the neighborhood, we made sure to give this a try.",anecdotes/miscellaneous,neutral
All I can say is they are fantastic.,anecdotes/miscellaneous,positive
Dieters stick to salads or indulge in vegetarian platters.,salads,positive
Dieters stick to salads or indulge in vegetarian platters.,vegetarian platters,positive
Dieters stick to salads or indulge in vegetarian platters.,food,positive
So for a filling and healthy meal give it a go.,meal,positive
So for a filling and healthy meal give it a go.,food,positive
I can't imagine how much worse it would have been if we'd gone at a prime time!,anecdotes/miscellaneous,negative
I have dined at Mammino several times now and each time it gets bettter.,anecdotes/miscellaneous,positive
Definitely something to come down and check out.,anecdotes/miscellaneous,positive
"Since I cook for a living, I'm very fussy about the food I eat in restaurants.",food,neutral
"Since I cook for a living, I'm very fussy about the food I eat in restaurants.",anecdotes/miscellaneous,neutral
The service was outstanding.,service,positive
The service was outstanding.,service,positive
I went for restaurant week.,anecdotes/miscellaneous,neutral
My friends and I stop here for pizza before hitting the Kips Bay movie theater.,pizza,neutral
My friends and I stop here for pizza before hitting the Kips Bay movie theater.,anecdotes/miscellaneous,neutral
We always enjoy the pizza.,pizza,positive
We always enjoy the pizza.,food,positive
The service is pretty good.,service,positive
The service is pretty good.,service,positive
I went there with a few friends and will return.,anecdotes/miscellaneous,positive
This place has been around for a few years.,anecdotes/miscellaneous,neutral
"Yum, the chicken is great here.",chicken,positive
"Yum, the chicken is great here.",food,positive
I highly recommend this restaurant!!,anecdotes/miscellaneous,positive
You will find everything about Trio to your liking!,anecdotes/miscellaneous,positive
This place was the worst.,anecdotes/miscellaneous,negative
I ordered from here last week.,anecdotes/miscellaneous,neutral
"This is a nice sushi restaurant in Brooklyn that's located on 86 street, right underneath the train station.",anecdotes/miscellaneous,positive
"The food here was great, a treat from beginning to end.",food,positive
"The food here was great, a treat from beginning to end.",food,positive
The host (owner) and servers are personable and caring.,host (owner),positive
The host (owner) and servers are personable and caring.,servers,positive
The host (owner) and servers are personable and caring.,service,positive
I decided to try out this place after hearing about it in many magazines.,anecdotes/miscellaneous,neutral
"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",food,positive
"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",atmosphere,positive
"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",hostess,positive
"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",food,positive
"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",ambience,positive
"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",service,positive
Having moved I truly miss this place.,anecdotes/miscellaneous,positive
The food is very good and the service is great.,food,positive
The food is very good and the service is great.,service,positive
The food is very good and the service is great.,food,positive
The food is very good and the service is great.,service,positive
I usually get one the Vietnamese Beef Noodle Soup.,Vietnamese Beef Noodle Soup,neutral
I usually get one the Vietnamese Beef Noodle Soup.,food,neutral
"SUM IT: local investment bankers like it, try for yourself at least once.",anecdotes/miscellaneous,positive
I started going to dosa hut more after that.,anecdotes/miscellaneous,positive
We were wondering why they were there to make our dining experience miserable?,dining experience,negative
We were wondering why they were there to make our dining experience miserable?,anecdotes/miscellaneous,negative
"This place has the best Indian food in New York, hands down.",Indian food,positive
"This place has the best Indian food in New York, hands down.",food,positive
The waiters are very friendly and helpful and if you frequent they will remember you.,waiters,positive
The waiters are very friendly and helpful and if you frequent they will remember you.,service,positive
Intimate but charming interior with extremely friendly and attentive service.,interior,positive
Intimate but charming interior with extremely friendly and attentive service.,service,positive
Intimate but charming interior with extremely friendly and attentive service.,ambience,positive
Intimate but charming interior with extremely friendly and attentive service.,service,positive
The food was as creative as the decor and both worked.,food,positive
The food was as creative as the decor and both worked.,decor,positive
The food was as creative as the decor and both worked.,food,positive
The food was as creative as the decor and both worked.,ambience,positive
Siam Square is fairly new to the neighborhood and I think in time will gain the recognition it deserves.,anecdotes/miscellaneous,positive
My first experience at Siam Square was very pleasant.,anecdotes/miscellaneous,positive
I have gone back to Siam Square many times since and everytime I am very satisfied overall.,anecdotes/miscellaneous,positive
"The menu is great, with a good selection, and everything that I have tried is absolutely delicious.",menu,positive
"The menu is great, with a good selection, and everything that I have tried is absolutely delicious.",selection,positive
"The menu is great, with a good selection, and everything that I have tried is absolutely delicious.",food,positive
We had our Christmas party at Dos Caminos and it was wonderful.,anecdotes/miscellaneous,positive
My personal favorite is Nick and Joe's.,anecdotes/miscellaneous,positive
The sauce is zesty and flavorful and the crust is nice and crispy.,sauce,positive
The sauce is zesty and flavorful and the crust is nice and crispy.,crust,positive
The sauce is zesty and flavorful and the crust is nice and crispy.,food,positive
This place has the best sushi in the city.,sushi,positive
This place has the best sushi in the city.,food,positive
They have an excellent selection (the rolls with crab are really great).,selection,positive
They have an excellent selection (the rolls with crab are really great).,rolls with crab,positive
They have an excellent selection (the rolls with crab are really great).,food,positive
"Everyone who works there (the host, the bartender, the servers) is so helpful.",host,positive
"Everyone who works there (the host, the bartender, the servers) is so helpful.",bartender,positive
"Everyone who works there (the host, the bartender, the servers) is so helpful.",servers,positive
"Everyone who works there (the host, the bartender, the servers) is so helpful.",service,positive
And the food is fantastic.,food,positive
And the food is fantastic.,food,positive
Favourites include: potato spinach gnocchi and the lamb.,potato spinach gnocchi,positive
Favourites include: potato spinach gnocchi and the lamb.,lamb,positive
Favourites include: potato spinach gnocchi and the lamb.,food,positive
Another great thing about Glechik-everything is very cheap!,price,positive
"Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport.",lunch,neutral
"Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport.",anecdotes/miscellaneous,negative
But regulars know that the sandwiches are the real star here.,sandwiches,positive
But regulars know that the sandwiches are the real star here.,food,positive
The skillfully chosen Portuguese cheese cart paired with quality port provides the perfect Iberian ending.,port,positive
The skillfully chosen Portuguese cheese cart paired with quality port provides the perfect Iberian ending.,Portuguese cheese cart,positive
The skillfully chosen Portuguese cheese cart paired with quality port provides the perfect Iberian ending.,food,positive
My friend had a burger and I had these wonderful blueberry pancakes.,burger,neutral
My friend had a burger and I had these wonderful blueberry pancakes.,blueberry pancakes,positive
My friend had a burger and I had these wonderful blueberry pancakes.,food,positive
We were so happy with our food and were even more thrilled when we saw the bill.,food,positive
We were so happy with our food and were even more thrilled when we saw the bill.,bill,positive
We were so happy with our food and were even more thrilled when we saw the bill.,food,positive
We were so happy with our food and were even more thrilled when we saw the bill.,price,positive
I would definitely come back to this restaurant.,anecdotes/miscellaneous,positive
The place just isn't ready for prime time.,anecdotes/miscellaneous,negative
"All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",toppings,positive
"All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",crust,positive
"All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",food,positive
Quartino is my favoriate resturant in NYC.,anecdotes/miscellaneous,positive
We've always gotten amazing service and we love the food.,service,positive
We've always gotten amazing service and we love the food.,food,positive
We've always gotten amazing service and we love the food.,service,positive
We've always gotten amazing service and we love the food.,food,positive
"The waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.",waitstaff,positive
"The waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.",food,positive
"The waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.",service,positive
"The waitstaff is solicitous and friendly and always seems glad to see us, and the food is wonderful, if not stunningly creative.",food,positive
I'm in love with the lobster ravioli!,lobster ravioli,positive
I'm in love with the lobster ravioli!,food,positive
My order is on my table even on a busy friday night within 10 minutes (at the most) of hanging up the phone.,service,positive
We came across this restaurant by accident while at a DUMBO art festival and thoroughly enjoyed our meal.,meal,positive
We came across this restaurant by accident while at a DUMBO art festival and thoroughly enjoyed our meal.,food,positive
"Service is excellent, no wait, and you get a lot for the price.",Service,positive
"Service is excellent, no wait, and you get a lot for the price.",price,positive
"Service is excellent, no wait, and you get a lot for the price.",wait,positive
"Service is excellent, no wait, and you get a lot for the price.",service,positive
"Service is excellent, no wait, and you get a lot for the price.",price,positive
"Service is excellent, no wait, and you get a lot for the price.",food,positive
I thought the food isn't cheap at all compared to Chinatown.,food,negative
I thought the food isn't cheap at all compared to Chinatown.,price,negative
And you never get the feeling that you need to leave.,anecdotes/miscellaneous,positive
Coffee is a better deal than overpriced Cosi sandwiches.,Coffee,positive
Coffee is a better deal than overpriced Cosi sandwiches.,Cosi sandwiches,negative
We didn't know if we should order a drink or leave?,drink,neutral
We didn't know if we should order a drink or leave?,anecdotes/miscellaneous,neutral
great neighbhorhood spot.,anecdotes/miscellaneous,positive
Bobb V's is a great place to take your Friends and Family!,anecdotes/miscellaneous,positive
") It's not the best Japanese restaurant in the East Village, but it's a pretty solid one for its modest prices, and worth repeat visits.",prices,positive
") It's not the best Japanese restaurant in the East Village, but it's a pretty solid one for its modest prices, and worth repeat visits.",price,positive
The food is so good and so popular that waiting can really be a nightmare.,food,positive
The food is so good and so popular that waiting can really be a nightmare.,waiting,negative
The food is so good and so popular that waiting can really be a nightmare.,food,positive
The food is so good and so popular that waiting can really be a nightmare.,service,negative
"Here's the thing, you're in the best city in the world for restaurants.",anecdotes/miscellaneous,positive
Go spend your money somewhere that really wows you.,anecdotes/miscellaneous,neutral
This is a real gem of a place.,anecdotes/miscellaneous,positive
I think this a a wonderful place.,anecdotes/miscellaneous,positive
First walking in the place seemed to have great ambience.,place,positive
First walking in the place seemed to have great ambience.,ambience,positive
First walking in the place seemed to have great ambience.,ambience,positive
I went to Kitchenette this weekend for brunch.,brunch,neutral
I went to Kitchenette this weekend for brunch.,anecdotes/miscellaneous,neutral
"This place doesn't get the publicity that Sylvias Soul Food restaurant does, but it should.",anecdotes/miscellaneous,positive
Just because P Diddy had a party at Butter doesn't mean we should be automatically impressed.,anecdotes/miscellaneous,negative
Even for two very hungry people there is plenty of food left to be taken home (it reheats really well also).,food,positive
Even for two very hungry people there is plenty of food left to be taken home (it reheats really well also).,food,positive
"Like I said, Nick and Joe's may not be everyone's favorite, but it's mine.",anecdotes/miscellaneous,positive
The help was extremely nice and did not rush us.,service,positive
"Then they somehow made a dry and burnt crust, around a raw and cold inside.",crust,negative
"Then they somehow made a dry and burnt crust, around a raw and cold inside.",food,negative
"It's just good food, nothing more and that's all we want!",food,positive
"It's just good food, nothing more and that's all we want!",food,positive
DON'T KNOW WHAT THE OTHERS ON THE BLOCK WERE LIKE BUT WE WERE PLEASED WITH OUR CHOICE.,anecdotes/miscellaneous,positive
Average cake thats been courted by a LOT of hype.,cake,negative
Average cake thats been courted by a LOT of hype.,food,negative
It's cute and simple and I loved it.,anecdotes/miscellaneous,positive
My wife and I recently visited the bistro for dinner and had a wonderful experience.,dinner,neutral
My wife and I recently visited the bistro for dinner and had a wonderful experience.,anecdotes/miscellaneous,positive
THE SERVICE IS PERFECT TOO  NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT,SERVICE,positive
THE SERVICE IS PERFECT TOO  NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT,service,positive
THE SERVICE IS PERFECT TOO  NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT,anecdotes/miscellaneous,positive
My fiance and I recently wanted to see the city and deceided to take a dinner cruise.,anecdotes/miscellaneous,neutral
The $72 Delmonico steak had to be sent back because it was not cooked to order.,Delmonico steak,negative
The $72 Delmonico steak had to be sent back because it was not cooked to order.,food,negative
The $72 Delmonico steak had to be sent back because it was not cooked to order.,price,negative
Everytime I go there I can't pick anything to eat and not because the menu is filled with great things to eat.,menu,negative
Everytime I go there I can't pick anything to eat and not because the menu is filled with great things to eat.,food,negative
Half a chicken with a mountain of rice and beans for $6.25.,rice,neutral
Half a chicken with a mountain of rice and beans for $6.25.,beans,neutral
Half a chicken with a mountain of rice and beans for $6.25.,chicken,neutral
Half a chicken with a mountain of rice and beans for $6.25.,price,positive
"The service is really fast and friendly, and the value is great.",service,positive
"The service is really fast and friendly, and the value is great.",value,positive
"The service is really fast and friendly, and the value is great.",service,positive
"The service is really fast and friendly, and the value is great.",price,positive
We were very impressed with the food and value.,food,positive
We were very impressed with the food and value.,value,positive
We were very impressed with the food and value.,food,positive
We were very impressed with the food and value.,price,positive
You must try the garlic soup!,garlic soup,positive
You must try the garlic soup!,food,positive
"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",falafel,positive
"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",tabouleh,positive
"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",humus,positive
"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",Mediterranean delights,positive
"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",food,positive
"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive.",price,positive
"The pizza's are made fresh, crispy, and ready to serve.",pizza's,positive
"The pizza's are made fresh, crispy, and ready to serve.",food,positive
"There are many french bistros in the midtown area, and I wholheartedly recommend this one.",anecdotes/miscellaneous,positive
Staff is accomodating make sure you are satified.,Staff,positive
Staff is accomodating make sure you are satified.,service,positive
Chef Waldy's always measures up.,Chef,positive
Chef Waldy's always measures up.,food,positive
This diamond in the ruff is definitely worth my 10-minute walk from the 6 train.,anecdotes/miscellaneous,positive
"Being a vegan myself, I've made a point of trying all the vegan restaurants in Manhattan--and Zen Palate is easily my favorite.",anecdotes/miscellaneous,positive
Don Pedro's is one of my favorite restaurants.,anecdotes/miscellaneous,positive
Reasonably priced with very fresh sushi.,sushi,positive
Reasonably priced with very fresh sushi.,priced,positive
Reasonably priced with very fresh sushi.,price,positive
Reasonably priced with very fresh sushi.,food,positive
Go for the Seafood Paella for two.,Seafood Paella for two,positive
Go for the Seafood Paella for two.,food,positive
All of the apetizers are good and the Sangria is very good.,apetizers,positive
All of the apetizers are good and the Sangria is very good.,Sangria,positive
All of the apetizers are good and the Sangria is very good.,food,positive
Cantinetta is a real treasure in a see of mediocre Italian restaurants.,anecdotes/miscellaneous,positive
"The one positive thing I can say is that the service was prompt, we got seated right away and the server was very friendly.",service,positive
"The one positive thing I can say is that the service was prompt, we got seated right away and the server was very friendly.",server,positive
"The one positive thing I can say is that the service was prompt, we got seated right away and the server was very friendly.",service,positive
The staff greeted me warmly at the door and I was seated promptly and the food was excellent.,staff,positive
The staff greeted me warmly at the door and I was seated promptly and the food was excellent.,food,positive
The staff greeted me warmly at the door and I was seated promptly and the food was excellent.,service,positive
The staff greeted me warmly at the door and I was seated promptly and the food was excellent.,food,positive
Whether one pizza place is better than another is often very subjective.,anecdotes/miscellaneous,neutral
Really nice restaurant to go with a group or on a date.,anecdotes/miscellaneous,positive
Service is usually pretty good.,Service,positive
Service is usually pretty good.,service,positive
Host and Hostess was quite rude.,Host,negative
Host and Hostess was quite rude.,Hostess,negative
Host and Hostess was quite rude.,service,negative
You will not be missing anything.,anecdotes/miscellaneous,negative
I discovered Applebees when I went away to college in VA.,anecdotes/miscellaneous,neutral
"the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -.",wait staff,positive
"the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -.",meal,positive
"the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -.",service,positive
"the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -.",food,positive
I recommend any of their salmon dishes......,salmon dishes,positive
I recommend any of their salmon dishes......,food,positive
The foie gras was sweet and luscious.,foie gras,positive
The foie gras was sweet and luscious.,food,positive
"The menu, which changes seasonally, shows both regional and international influences.",menu,neutral
"The menu, which changes seasonally, shows both regional and international influences.",food,neutral
but their mac cheese was YUMMY!,mac cheese,positive
but their mac cheese was YUMMY!,food,positive
their brunch menu had something for everyone.,brunch menu,positive
their brunch menu had something for everyone.,food,positive
jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.,jazz singer,positive
jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.,ambience,positive
"I often find myself with time to kill in Times Square, which is a shame since I don't love this area.",anecdotes/miscellaneous,negative
They have very quick service which is great when you don't have much time.,service,positive
They have very quick service which is great when you don't have much time.,service,positive
"The food is average: breakfast food, soups, salads, sandwiches, etc.",food,neutral
"The food is average: breakfast food, soups, salads, sandwiches, etc.",breakfast food,neutral
"The food is average: breakfast food, soups, salads, sandwiches, etc.",soups,neutral
"The food is average: breakfast food, soups, salads, sandwiches, etc.",salads,neutral
"The food is average: breakfast food, soups, salads, sandwiches, etc.",sandwiches,neutral
"The food is average: breakfast food, soups, salads, sandwiches, etc.",food,neutral
I WAS HIGHLY DISAPPOINTED BY THE FOOD.,FOOD,negative
I WAS HIGHLY DISAPPOINTED BY THE FOOD.,food,negative
